vendor_id,delivery_charge,serving_distance,is_open,prepration_time,discount_percentage,ven_status,ven_verified,vendor_rating,Ven_created_days,american,arabic,asian,bagels,biryani,breakfast,burgers,cafe,cakes,chinese,churros,coffee,combos,crepes,desserts,dimsum,donuts,family_meal,fatayers,free_delivery,fresh_juices,fries,frozen_yoghurt,grills,healthy_food,hot_chocolate,hot_dogs,ice_creams,indian,italian,japanese,karak,kebabs,kids_meal,kushari,lebanese,manakeesh,mandazi,mexican,milkshakes,mishkak,mojitos,mojitos_,nan,omani,organic,pancakes,pasta,pastry,pizza,rice,rolls,salads,sandwiches,seafood,shawarma,shuwa,smoothies,soups,spanish_latte,steaks,sushi,sweets,thai,thali,vegetarian,waffles,OpenHour,TotOpenDuration,vendor_category_en_Restaurants,vendor_category_en_Sweets & Bakes,device_type_1,device_type_3,timegroup_early(5-10.59am),timegroup_evening(17-22.59pm),timegroup_latenight(23-4.59am),timegroup_normal(11-16.59pm)
78,0.7,15.0,0.0,17,0.0,0.0,1,4.4,675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11:00,12.0,1,0,0,1,0,0,0,1
79,0.0,15.0,1.0,15,0.0,1.0,1,4.7,675,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11:59,-9.73,1,0,0,1,0,0,0,1
81,0.0,15.0,1.0,15,0.0,1.0,1,3.8,669,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,08:00,11.0,1,0,0,1,1,0,0,0
82,0.7,8.0,1.0,11,0.0,1.0,1,4.4,667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,08:00,15.98,1,0,0,1,1,0,0,0
83,0.7,15.0,1.0,15,0.0,1.0,1,4.2,657,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:00,12.0,1,0,0,1,0,0,0,1
84,0.0,15.0,1.0,14,0.0,1.0,1,4.3,654,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10:00,13.75,1,0,0,1,1,0,0,0
85,0.0,5.0,1.0,15,50.0,1.0,1,4.6,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:59,11.52,0,1,0,1,0,0,0,1
86,0.0,15.0,1.0,13,0.0,1.0,1,4.5,650,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,08:30,15.25,0,1,0,1,1,0,0,0
90,0.0,15.0,1.0,14,0.0,1.0,1,4.4,636,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:59,11.77,1,0,0,1,0,0,0,1
92,0.7,6.0,1.0,14,0.0,1.0,1,4.6,633,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:00,11.75,1,0,0,1,0,0,0,1
104,0.0,2.0,1.0,10,0.0,1.0,1,4.5,622,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10:59,12.52,1,0,0,1,1,0,0,0
105,0.0,15.0,1.0,12,0.0,1.0,1,4.5,621,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10:59,12.52,1,0,0,1,1,0,0,0
106,0.0,15.0,1.0,10,0.0,1.0,1,4.5,621,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10:59,12.52,1,0,0,1,1,0,0,0
110,0.7,15.0,1.0,18,35.0,1.0,1,4.6,619,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11:15,10.75,1,0,0,1,0,0,0,1
113,0.0,15.0,1.0,10,0.0,1.0,1,4.7,616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10:59,12.0,1,0,0,1,1,0,0,0
115,0.0,15.0,1.0,13,0.0,1.0,1,4.8,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,09:59,13.77,0,1,0,1,1,0,0,0
134,0.0,15.0,0.0,16,0.0,0.0,0,4.5,582,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,08:00,13.75,1,0,0,1,1,0,0,0
145,0.0,15.0,0.0,10,0.0,0.0,0,3.2,567,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16:00,7.75,1,0,0,1,0,0,0,1
148,0.7,15.0,1.0,16,15.0,1.0,1,4.1,549,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,08:00,15.75,1,0,0,1,1,0,0,0
149,0.7,15.0,0.0,15,0.0,0.0,0,4.2,542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:15,11.25,1,0,0,1,0,0,0,1
154,0.7,15.0,1.0,15,0.0,1.0,1,4.5,531,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11:00,12.75,1,0,0,1,0,0,0,1
157,0.7,15.0,1.0,15,0.0,1.0,1,4.3,529,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10:59,9.02,1,0,0,1,1,0,0,0
159,0.0,6.0,1.0,13,0.0,1.0,1,4.5,525,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11:30,12.0,1,0,0,1,0,0,0,1
160,0.7,15.0,1.0,14,0.0,1.0,1,4.3,520,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10:00,13.75,1,0,0,1,1,0,0,0
161,0.7,10.0,0.0,17,0.0,0.0,0,4.2,518,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:00,13.98,1,0,0,1,0,0,0,1
176,0.7,8.0,1.0,21,0.0,1.0,1,4.3,494,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,09:00,0.02,1,0,0,1,1,0,0,0
180,0.7,15.0,0.0,15,0.0,0.0,0,3.8,492,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,11:00,12.0,1,0,0,1,0,0,0,1
188,0.7,8.0,1.0,14,0.0,1.0,1,4.6,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11:59,10.77,1,0,0,1,0,0,0,1
189,0.7,15.0,1.0,10,0.0,1.0,1,4.3,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,07:58,15.78,1,0,0,1,1,0,0,0
191,0.7,8.0,1.0,11,0.0,1.0,1,4.5,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,09:00,14.75,1,0,0,1,1,0,0,0
192,0.7,10.0,1.0,11,0.0,1.0,1,4.3,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,09:00,14.75,1,0,0,1,1,0,0,0
193,0.7,10.0,0.0,18,0.0,0.0,0,4.3,480,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11:00,12.02,1,0,0,1,0,0,0,1
195,0.7,15.0,1.0,15,0.0,1.0,1,4.2,479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17:30,8.96,1,0,0,1,0,1,0,0
196,0.7,10.0,0.0,17,0.0,0.0,1,4.4,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18:00,8.46,0,1,0,1,0,1,0,0
197,0.0,15.0,1.0,17,0.0,1.0,1,4.4,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:59,10.77,1,0,0,1,0,0,0,1
199,0.0,15.0,1.0,15,0.0,1.0,1,4.5,478,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,08:30,15.25,0,1,0,1,1,0,0,0
201,0.7,15.0,1.0,12,0.0,1.0,1,4.0,475,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11:00,-13.340000000000002,1,0,0,1,0,0,0,1
203,0.7,15.0,0.0,16,0.0,0.0,0,4.0,473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11:00,12.02,1,0,0,1,0,0,0,1
207,0.7,15.0,1.0,15,0.0,1.0,1,4.1,463,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11:00,10.75,1,0,0,1,0,0,0,1
216,0.7,6.0,1.0,15,0.0,1.0,1,4.7,449,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:00,11.0,1,0,0,1,1,0,0,0
221,0.7,15.0,0.0,10,0.0,0.0,0,4.2,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,09:00,14.0,0,1,0,1,1,0,0,0
225,0.0,15.0,1.0,10,0.0,1.0,1,4.2,440,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06:15,17.5,1,0,0,1,1,0,0,0
231,0.7,10.0,1.0,15,0.0,1.0,1,4.3,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:00,14.0,0,1,1,0,1,0,0,0
237,0.7,15.0,0.0,15,0.0,0.0,0,4.6,428,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20:30,5.96,1,0,0,1,0,1,0,0
243,0.7,15.0,0.0,11,0.0,0.0,1,4.4,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13:00,-22.0,1,0,0,1,0,0,0,1
250,0.7,5.0,1.0,15,0.0,1.0,1,4.5,416,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,09:00,14.75,1,0,0,1,1,0,0,0
259,0.0,15.0,1.0,15,0.0,1.0,1,4.3,407,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,17:00,6.98,1,0,0,1,0,1,0,0
265,0.0,10.0,1.0,15,0.0,1.0,1,4.3,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08:00,15.75,0,1,0,1,1,0,0,0
271,0.7,5.0,1.0,11,0.0,1.0,1,4.5,400,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,17:00,6.75,1,0,0,1,0,1,0,0
274,0.7,15.0,0.0,45,0.0,0.0,0,3.7,397,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:00,12.0,0,1,0,1,0,0,0,1
288,0.0,6.0,1.0,15,0.0,1.0,1,4.6,376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11:15,8.0,1,0,0,1,0,0,0,1
289,0.7,15.0,1.0,15,0.0,1.0,1,4.5,373,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11:30,12.48,1,0,0,1,0,0,0,1
294,0.0,10.0,0.0,15,0.0,0.0,0,4.4,370,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:00,14.75,1,0,0,1,1,0,0,0
295,0.7,5.0,1.0,15,0.0,1.0,1,4.7,370,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,08:00,15.75,1,0,0,1,1,0,0,0
298,0.0,8.0,1.0,17,0.0,1.0,1,4.7,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10:00,13.0,1,0,0,1,1,0,0,0
